SourcePortGroup, TargetPortGroup
VLAN 100,pgDMZ
VLAN 101,pgBDCF
VLAN 102,pgWINDOWS
VLAN 103,pgWEB
VLAN 104,pgMAIL
VLAN 105,pgOUT
VLAN 106,pgIDENT
